Comunity_number "Total population" "Age 0-2" "Age 3-4" "Age 5" "Age 6-12" Hispanic "Non-Hispanic Black" "Non-Hispanic White" "Non-Hispanic Asian" "Other or multiple"
1 53470 2164 1166 616 3819 24% 24% 45% 5% 3%
2 75185 3507 2075 1095 7957 20% 13% 41% 21% 4%
3 54001 1647 884 370 2681 16% 19% 51% 11% 3%
4 46881 2163 902 324 2380 18% 6% 62% 10% 4%
5 35406 2043 1076 636 2873 11% 9% 73% 4% 3%
6 102584 4025 1671 803 3868 9% 3% 77% 8% 3%
7 65711 2476 1200 477 2864 9% 4% 78% 6% 3%
8 96466 2902 1445 467 3092 9% 11% 67% 10% 2%
9 10856 201 226 38 1086 7% 5% 84% 3% 1%
10 32589 1127 847 441 2528 11% 0% 83% 3% 2%
11 27934 951 684 237 2106 21% 1% 67% 9% 2%
12 18568 870 597 276 1802 13% 1% 73% 10% 3%
13 13097 416 372 135 1427 23% 2% 57% 17% 2%
14 50485 2106 1608 572 4401 47% 4% 28% 18% 3%
15 72581 2688 1759 974 5640 44% 2% 47% 5% 2%
16 55174 2484 1518 748 4481 43% 3% 43% 8% 3%
17 43414 1540 1162 475 3308 31% 2% 62% 4% 1%
18 7406 338 232 62 588 49% 4% 42% 4% 1%
19 78037 3645 2641 1390 8469 77% 5% 15% 2% 1%
20 28720 1295 857 553 2728 79% 2% 15% 3% 1%
21 33327 1395 1057 394 2853 63% 2% 30% 3% 3%
22 77219 3451 2150 1034 5090 44% 6% 45% 3% 2%
23 44841 1974 1369 590 4917 60% 27% 9% 2% 2%
24 84660 3749 2091 761 4844 26% 14% 53% 3% 3%
25 97604 4526 2838 973 9411 17% 75% 7% 1% 1%
26 20146 1198 1068 320 2273 2% 95% 2% 0% 0%
27 21745 1099 744 455 2543 6% 89% 5% 0% 1%
28 62655 2556 1521 695 3929 17% 31% 37% 12% 2%
29 36529 1795 1143 560 3942 22% 66% 9% 2% 1%
30 64000 3194 2347 986 8143 77% 15% 6% 2% 1%
31 35783 1338 796 483 3408 59% 8% 11% 20% 1%
32 32936 1051 629 260 1516 23% 13% 50% 12% 2%
33 26324 1018 611 259 1484 16% 19% 44% 19% 2%
34 9906 358 227 82 548 4% 16% 29% 49% 3%
35 28770 832 371 211 1679 6% 50% 26% 16% 3%
36 5181 162 165 137 332 5% 75% 13% 5% 2%
37 3220 138 61 69 237 40% 39% 21% 0% 0%
38 26631 745 704 301 1832 9% 84% 5% 1% 2%
39 12982 473 400 117 1068 3% 77% 15% 3% 3%
40 18077 632 648 291 1724 2% 83% 7% 6% 2%
41 28394 840 647 160 1741 7% 39% 39% 10% 4%
42 25743 1160 915 237 2123 4% 77% 12% 4% 2%
43 42198 1866 1480 802 3728 2% 95% 2% 0% 2%
44 35326 1245 1390 256 2875 2% 86% 10% 1% 1%
45 7033 157 339 55 734 2% 97% 1% 0% 1%
46 30009 1488 741 334 2442 15% 75% 6% 3% 1%
47 1703 105 63 0 120 36% 55% 8% 0% 1%
48 12664 183 212 135 866 1% 97% 1% 0% 1%
49 41498 1002 1008 357 4109 4% 93% 1% 0% 1%
50 8359 423 367 89 837 1% 96% 2% 1% 1%
51 11555 267 264 213 1425 28% 60% 10% 0% 2%
52 25925 1007 703 406 2893 62% 24% 13% 0% 0%
53 27799 926 584 388 2984 13% 82% 3% 0% 1%
54 6565 456 319 128 788 3% 96% 0% 0% 0%
55 9745 483 225 115 961 32% 37% 30% 0% 0%
56 36806 1438 899 670 3556 55% 6% 38% 1% 1%
57 16592 649 497 132 1689 66% 1% 31% 2% 0%
58 41813 1463 1175 603 4980 77% 1% 12% 8% 1%
59 13778 667 374 152 1419 59% 1% 17% 22% 2%
60 31893 1039 856 350 2312 30% 6% 30% 32% 2%
61 42047 2115 1657 770 4844 59% 24% 13% 3% 1%
62 16218 733 369 231 1806 76% 6% 16% 2% 0%
63 40699 1859 1253 701 5696 86% 10% 4% 0% 0%
64 28563 1173 769 269 2948 56% 1% 40% 1% 1%
65 31134 1187 875 527 3892 82% 3% 15% 1% 0%
66 48376 2073 1870 779 5489 49% 44% 5% 1% 2%
67 32410 1284 1032 441 3190 15% 82% 2% 0% 1%
68 27383 1444 1202 389 2960 3% 94% 1% 0% 2%
69 33003 799 880 237 2885 3% 95% 1% 0% 1%
70 41782 1713 1059 606 4451 39% 47% 12% 1% 2%
71 46817 1476 1142 587 4075 2% 96% 1% 0% 1%
72 19969 827 582 229 1695 6% 37% 55% 0% 2%
73 28062 512 653 296 2292 1% 92% 5% 0% 2%
74 16878 773 574 297 1452 10% 14% 73% 2% 1%
75 23900 786 522 165 2119 5% 51% 41% 1% 2%
76 10222 595 170 96 887 4% 49% 37% 5% 5%
77 56536 1424 791 412 2428 16% 14% 55% 12% 3%
